task_id,title,owner_team,status,canonical_state,strategy_acceptance,data_readiness,parent_task,key_report,key_decision,key_artifacts,validation_command,notes
Task489,Broad Regime Intraday Cell Portfolio,Regime Research,Accepted,canonical,diagnostic-only,raw-ready,Task488,docs/reports/task_489_broad_regime_cell_portfolio/task_489_broad_regime_cell_portfolio.md,docs/reports/task_489_broad_regime_cell_portfolio/task_489_decision.csv,docs/reports/task_489_broad_regime_cell_portfolio,python -m unittest tests.test_task489_broad_regime_cell_portfolio,Current outer market/theme regime gate
Task490R,Firm-Grade Intraday Continuation Validation,Intraday Continuation Research,Diagnostic Only,diagnostic,diagnostic-only,raw-ready,Task489,docs/reports/task_490r_firm_grade_intraday_continuation_validation/task_490r_firm_grade_intraday_continuation_validation.md,docs/reports/task_490r_firm_grade_intraday_continuation_validation/task_decision.csv,docs/reports/task_490r_firm_grade_intraday_continuation_validation,python -m unittest tests.test_task490r_firm_grade_intraday_continuation_validation,OHLCV/VWAP high-return sleeve undercovered
Task491,Intraday Continuation Grid Development Loop,Intraday Continuation Research,Accepted,active,diagnostic-only,raw-ready,Task490R,docs/reports/task_491_intraday_continuation_grid_development/task_491_intraday_continuation_grid_development.md,docs/reports/task_491_intraday_continuation_grid_development/grid_development_decision.csv,docs/reports/task_491_intraday_continuation_grid_development,python -m unittest tests.test_task491_intraday_continuation_grid_development,Secondary pass with OHLCV/VWAP
Task492,Microstructure Source Collection,Data & Market Microstructure,Accepted,active,not-applicable,partial-source,Task491,docs/reports/task_492_microstructure_source_collection/task_492_microstructure_source_collection.md,docs/reports/task_492_microstructure_source_collection/task_492_decision.csv,docs/reports/task_492_microstructure_source_collection,python -m unittest tests.test_task492_microstructure_source_collection,Historical NBBO quote feature layer
Task493,Microstructure Enhanced Continuation Grid,Intraday Continuation Research,Accepted,canonical,diagnostic-only,partial-source,Task492,docs/reports/task_493_microstructure_enhanced_continuation_grid/task_493_microstructure_enhanced_continuation_grid.md,docs/reports/task_493_microstructure_enhanced_continuation_grid/task_493_decision.csv,docs/reports/task_493_microstructure_enhanced_continuation_grid,python -m unittest tests.test_task493_microstructure_enhanced_continuation_grid,Primary diagnostic pass after spread/NBBO size overlay
Task494,Microstructure Goal Synthesis,Research Governance,Accepted,active,diagnostic-only,partial-source,Task493,docs/reports/task_494_microstructure_goal_synthesis/task494_microstructure_goal_synthesis.md,docs/reports/task_494_microstructure_goal_synthesis/task491_vs_task493_goal_comparison.csv,docs/reports/task_494_microstructure_goal_synthesis,python -m src.backtest.analysis_structural_breakout_task494_microstructure_goal_synthesis,Task491 vs Task493 synthesis
Task495,Microstructure Live Source Readiness,Data & Market Microstructure,Accepted,canonical,not-applicable,live-ready,Task493,docs/reports/task_495_microstructure_live_source_readiness/task_495_microstructure_live_source_readiness.md,docs/reports/task_495_microstructure_live_source_readiness/task_495_decision.csv,docs/reports/task_495_microstructure_live_source_readiness,python -m unittest tests.test_task495_microstructure_live_source_readiness,Live quote/status/LULD archive ready; full depth provider required
Task496,Multi-Day Market Theme Regime V4,Regime Research,Accepted,active,diagnostic-only,partial-source,Task493,docs/reports/task_496_multi_day_regime_v4/task_496_multi_day_regime_v4.md,docs/reports/task_496_multi_day_regime_v4/task_496_decision.csv,docs/reports/task_496_multi_day_regime_v4,python -m unittest tests.test_task496_multi_day_regime_v4,Multi-day regime rebuilt separately from intraday continuation
Task497,Intraday Continuation Structure Separation,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task496,docs/reports/task_497_intraday_continuation_structure/task_497_intraday_continuation_structure.md,docs/reports/task_497_intraday_continuation_structure/task_497_decision.csv,docs/reports/task_497_intraday_continuation_structure,python -m unittest tests.test_task497_intraday_continuation_structure,Entry-safe intraday continuation state separation
Task498,Entry Reduce Failure Root Cause Decomposition,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task497,docs/reports/task_498_entry_reduce_failure_decomposition/task_498_entry_reduce_failure_decomposition.md,docs/reports/task_498_entry_reduce_failure_decomposition/task_498_decision.csv,docs/reports/task_498_entry_reduce_failure_decomposition,python -m unittest tests.test_task498_entry_reduce_failure_decomposition,Entry reduce failure root causes quantified
Task499,Regime Intraday Continuation Grid,Backtest & Simulation Infra,Accepted,active,diagnostic-only,partial-source,Task498,docs/reports/task_499_regime_intraday_continuation_grid/task_499_regime_intraday_continuation_grid.md,docs/reports/task_499_regime_intraday_continuation_grid/task_499_decision.csv,docs/reports/task_499_regime_intraday_continuation_grid,python -m unittest tests.test_task499_regime_intraday_continuation_grid,Goal grid diagnostic did not pass due holding horizon and avg net blockers
Task500,Goal Loop Synthesis,Research Governance,Accepted,active,diagnostic-only,partial-source,Task499,docs/reports/task_500_goal_loop_synthesis/task_500_goal_loop_synthesis.md,docs/reports/task_500_goal_loop_synthesis/task_500_decision.csv,docs/reports/task_500_goal_loop_synthesis,python -m unittest tests.test_task500_goal_loop_synthesis,Next iteration plan generated from measured blockers
Task501,Multi-Day Continuation Policy Rebuild,Backtest & Simulation Infra,Accepted,active,diagnostic-only,partial-source,Task500,docs/reports/task_501_multiday_continuation_policy_rebuild/task_501_multiday_continuation_policy_rebuild.md,docs/reports/task_501_multiday_continuation_policy_rebuild/task_501_decision.csv,docs/reports/task_501_multiday_continuation_policy_rebuild,python -m unittest tests.test_task501_multiday_continuation_policy_rebuild,Multi-day raw daily policy simulation fixed holding horizon but failed win and entry-reduce targets
Task502,Goal Feasibility Audit,Research Governance,Accepted,active,diagnostic-only,partial-source,Task501,docs/reports/task_502_goal_feasibility_audit/task_502_goal_feasibility_audit.md,docs/reports/task_502_goal_feasibility_audit/task_502_decision.csv,docs/reports/task_502_goal_feasibility_audit,python -m unittest tests.test_task502_goal_feasibility_audit,Current entry population cannot meet count 300-600 win 65 and entry-reduce 20 after multi-day policy simulation
